,Unnamed: 0,Unnamed: 0.1,id,name,screen_name,statuses_count,followers_count,friends_count,favourites_count,listed_count,url,lang,time_zone,location,default_profile,default_profile_image,geo_enabled,profile_image_url,profile_banner_url,profile_use_background_image,profile_background_image_url_https,profile_text_color,profile_image_url_https,profile_sidebar_border_color,profile_background_tile,profile_sidebar_fill_color,profile_background_image_url,profile_background_color,profile_link_color,utc_offset,is_translator,follow_request_sent,protected,verified,notifications,description,contributors_enabled,following,created_at,timestamp,crawled_at,updated,counts,user_type
0,320,320,64987143.0,Fake Taylor S,TaylorSFaklhh,1,62,1489,0,0,,en,,,,,,http://a2.twimg.com/profile_images/359639810/3_normal.jpeg,,,,,,,,,http://s.twimg.com/a/1287010001/images/themes/theme1/bg.png,,,,,,,,,,,,1250067973000L,2009-08-12 11:06:13,2010-11-07 11:10:52,2016-03-14 17:08:08,1,0
1,512,512,72795613.0,Katherine,Katherine9e5b,1,98,411,0,0,http://wowurl.com/13qp,en,,,,,,http://a0.twimg.com/profile_images/406283036/zme__1129__normal.jpg,,,,,,,,,http://s.twimg.com/a/1288305442/images/themes/theme1/bg.png,,,,,,,,,,,,1252481862000L,2009-09-09 09:37:42,2010-11-07 11:10:52,2016-03-14 17:09:04,1,0
2,145,145,53780486.0,Mom3CuteBoys,Mom3CuteBo38991,1,39,285,0,0,,en,,,,,,http://a1.twimg.com/profile_images/298701313/30_normal.jpeg,,,,,,,,,http://s.twimg.com/a/1288305442/images/themes/theme1/bg.png,,,,,,,,,,,,1246747718000L,2009-07-05 00:48:38,2010-11-07 11:10:52,2016-03-14 17:07:17,1,0
3,318,318,64982724.0,Nancy,Nancy84pg,1,119,673,0,2,http://xurl.jp/180a,en,,,,,,http://a0.twimg.com/profile_images/358633404/zzzzzzzzzscenegirl-1045_normal.jpg,,,,,,,,,http://s.twimg.com/a/1288660386/images/themes/theme1/bg.png,,,,,,,,,,,,1250066360000L,2009-08-12 10:39:20,2010-11-07 11:10:52,2016-03-14 17:08:08,1,0
4,463,463,69509049.0,Chelsea,Chelsea9j2k,1,189,606,0,0,http://wowurl.com/175,en,,,,,,http://s.twimg.com/a/1287010001/images/default_profile_1_normal.png,,,,,,,,,http://s.twimg.com/a/1287437169/images/themes/theme1/bg.png,,,,,,,,,,,,1251435453000L,2009-08-28 06:57:33,2010-11-07 11:10:52,2016-03-14 17:08:49,1,0
5,60,60,45497562.0,Amy,Amy71ju,1,157,712,0,1,http://xurl.jp/trr,en,,,,,,http://a3.twimg.com/profile_images/254201679/zscenegirl-1090_normal.jpg,,,,,,,,,http://s.twimg.com/a/1287010001/images/themes/theme1/bg.png,,,,,,,,,,,,1244434377000L,2009-06-08 06:12:57,2010-11-07 11:10:52,2016-03-14 17:06:52,1,0
6,460,460,69504535.0,Katherine,Katherine7q2w,1,177,583,0,1,http://wowurl.com/16r,en,,,,,,http://a1.twimg.com/profile_images/385973401/zzz3__1332__normal.jpg,,,,,,,,,http://s.twimg.com/a/1287010001/images/themes/theme1/bg.png,,,,,,,,,,,,1251433934000L,2009-08-28 06:32:14,2010-11-07 11:10:52,2016-03-14 17:08:48,1,0
7,446,446,69220675.0,Katherine,Katherine6v1r,1,175,589,0,1,http://xurl.jp/yc3a,en,,,,,,http://a1.twimg.com/profile_images/384258089/zzz3__1062__normal.jpg,,,,,,,,,http://s.twimg.com/a/1288374569/images/themes/theme1/bg.png,,,,,,,,,,,,1251354365000L,2009-08-27 08:26:05,2010-11-07 11:10:52,2016-03-14 17:08:44,1,0
8,65,65,46322170.0,Lily,Lily920iu,1,121,656,0,0,http://xurl.jp/hxr,en,,,,,,http://a0.twimg.com/profile_images/258361220/zscenegirl-1318_normal.jpg,,,,,,,,,http://s.twimg.com/a/1288305442/images/themes/theme1/bg.png,,,,,,,,,,,,1244697725000L,2009-06-11 07:22:05,2010-11-07 11:10:52,2016-03-14 17:06:54,1,0
9,427,427,68934868.0,Amy,Amy9v8j,1,215,633,0,0,http://xurl.jp/942a,en,,,,,,http://a3.twimg.com/profile_images/382658651/zzz3__575__normal.jpg,,,,,,,,,http://s.twimg.com/a/1288374569/images/themes/theme1/bg.png,,,,,,,,,,,,1251276528000L,2009-08-26 10:48:48,2010-11-07 11:10:52,2016-03-14 17:08:39,1,0
10,520,520,73047988.0,Sally,Sally2z2d,1,56,496,0,1,http://wowurl.com/13u9,en,,,,,,http://a3.twimg.com/profile_images/407677715/zz3__1003__normal.jpg,,,,,,,,,http://s.twimg.com/a/1287523226/images/themes/theme1/bg.png,,,,,,,,,,,,1252559719000L,2009-09-10 07:15:19,2010-11-07 11:10:52,2016-03-14 17:09:06,1,0
11,411,411,68202161.0,Sophia,Sophia80bn,1,50,222,0,0,,en,,,,,,http://a0.twimg.com/profile_images/377869560/z748_normal.jpg,,,,,,,,,http://s.twimg.com/a/1288470193/images/themes/theme1/bg.png,,,,,,,,,,,,1251051714000L,2009-08-23 20:21:54,2010-11-07 11:10:52,2016-03-14 17:08:34,1,0
12,389,389,67601742.0,Cindy,Cindy70en,1,199,539,0,1,http://xurl.jp/g51a,en,,,,,,http://a2.twimg.com/profile_images/374231470/z3__1683__normal.jpg,,,,,,,,,http://s.twimg.com/a/1288470193/images/themes/theme1/bg.png,,,,,,,,,,,,1250860058000L,2009-08-21 15:07:38,2010-11-07 11:10:52,2016-03-14 17:08:28,1,0
13,370,370,67243343.0,Jessica,Jessica116d,1,97,589,0,0,http://xurl.jp/l01a,en,,,,,,http://s.twimg.com/a/1288305442/images/default_profile_6_normal.png,,,,,,,,,http://s.twimg.com/a/1288305442/images/themes/theme1/bg.png,,,,,,,,,,,,1250748057000L,2009-08-20 08:00:57,2010-11-07 11:10:52,2016-03-14 17:08:22,1,0
14,158,158,53948371.0,Ansherri Scales,anniebaby170025,1,72,745,0,0,,en,,,,,,http://a3.twimg.com/profile_images/300218855/43_normal.jpeg,,,,,,,,,http://s.twimg.com/a/1287010001/images/themes/theme1/bg.png,,,,,,,,,,,,1246812557000L,2009-07-05 18:49:17,2010-11-07 11:10:52,2016-03-14 17:07:21,1,0
15,153,153,53819925.0,Raymond Ward,raysadiplo41136,1,46,317,0,1,,en,,,,,,http://a3.twimg.com/profile_images/298352103/11_normal.jpeg,,,,,,,,,http://s.twimg.com/a/1288305442/images/themes/theme1/bg.png,,,,,,,,,,,,1246761771000L,2009-07-05 04:42:51,2010-11-07 11:10:52,2016-03-14 17:07:19,1,0
16,363,363,66286914.0,Alex Ackerman,zanerpoodl4aa,1,22,758,0,0,,en,,,,,,http://a0.twimg.com/profile_images/370490592/44_normal.jpeg,,,,,,,,,http://s.twimg.com/a/1287010001/images/themes/theme1/bg.png,,,,,,,,,,,,1250487204000L,2009-08-17 07:33:24,2010-11-07 11:10:52,2016-03-14 17:08:20,1,0
17,359,359,66168720.0,Ashley Semila Styles,AshleySemi3em,1,28,786,0,0,,en,,,,,,http://a0.twimg.com/profile_images/370496852/4_normal.jpeg,,,,,,,,,http://s.twimg.com/a/1287010001/images/themes/theme1/bg.png,,,,,,,,,,,,1250448842000L,2009-08-16 20:54:02,2010-11-07 11:10:52,2016-03-14 17:08:19,1,0
18,149,149,53784356.0,Mom3CuteBoys,Mom3CuteBo71550,1,39,300,0,0,,en,,,,,,http://a2.twimg.com/profile_images/298714926/22_normal.jpeg,,,,,,,,,http://s.twimg.com/a/1287774835/images/themes/theme1/bg.png,,,,,,,,,,,,1246749020000L,2009-07-05 01:10:20,2010-11-07 11:10:52,2016-03-14 17:07:18,1,0
19,148,148,53783352.0,IMA REAL INDIVIDUAL,SuaveOnDem50734,1,37,313,0,0,,en,,,,,,http://a2.twimg.com/profile_images/298625138/37_normal.jpeg,,,,,,,,,http://s.twimg.com/a/1288981003/images/themes/theme1/bg.png,,,,,,,,,,,,1246748653000L,2009-07-05 01:04:13,2010-11-07 11:10:52,2016-03-14 17:07:18,1,0
20,147,147,53781542.0,Mom3CuteBoys,Mom3CuteBo27943,1,26,292,0,0,,en,,,,,,http://a2.twimg.com/profile_images/298704046/7_normal.jpeg,,,,,,,,,http://s.twimg.com/a/1288039940/images/themes/theme1/bg.png,,,,,,,,,,,,1246748064000L,2009-07-05 00:54:24,2010-11-07 11:10:52,2016-03-14 17:07:17,1,0
21,397,397,67845596.0,Chelsea,Chelsea07xp,1,176,579,0,3,http://xurl.jp/ld2a,en,,,,,,http://a3.twimg.com/profile_images/375608523/zz3__284__normal.jpg,,,,,,,,,http://s.twimg.com/a/1287774835/images/themes/theme1/bg.png,,,,,,,,,,,,1250928694000L,2009-08-22 10:11:34,2010-11-07 11:10:52,2016-03-14 17:08:30,1,0
22,527,527,73851157.0,Carly,Carly3s9a,1,65,439,0,0,http://wowurl.com/1433,en,,,,,,http://a2.twimg.com/profile_images/415840450/z2__1550__normal.jpg,,,,,,,,,http://s.twimg.com/a/1287010001/images/themes/theme1/bg.png,,,,,,,,,,,,1252834009000L,2009-09-13 11:26:49,2010-11-07 11:10:52,2016-03-14 17:09:08,1,0
23,509,509,72497929.0,Emily,Emily3i7w,1,90,644,0,0,http://wowurl.com/13oz,en,,,,,,http://a3.twimg.com/profile_images/405531419/zzz3__922__normal.jpg,,,,,,,,,http://s.twimg.com/a/1288374569/images/themes/theme1/bg.png,,,,,,,,,,,,1252395029000L,2009-09-08 09:30:29,2010-11-07 11:10:52,2016-03-14 17:09:03,1,0
24,535,535,74394852.0,Chelsea,Chelsea8q3l,1,90,553,0,0,http://wowurl.com/148r,en,,,,,,http://a0.twimg.com/profile_images/421813748/zz2__220__normal.jpg,,,,,,,,,http://s.twimg.com/a/1287523226/images/themes/theme1/bg.png,,,,,,,,,,,,1253000979000L,2009-09-15 09:49:39,2010-11-07 11:10:52,2016-03-14 17:09:11,1,0
